pos_panda_joint1,pos_panda_joint2,pos_panda_joint3,pos_panda_joint4,pos_panda_joint5,pos_panda_joint6,pos_panda_joint7
-0.00973522501705304,-0.4381539243349719,-0.1205216408095513,-2.8706090505934405,-0.1078271253696963,2.371683290794433,0.42990973994945403
-0.032911669068763416,-0.4884878811866633,-0.1360840701698116,-2.9065141626272677,-0.13089239273622777,2.3523423142873625,0.4072717517977731
-0.056660232883318784,-0.5293226360009564,-0.15236698056425269,-2.9297396442027477,-0.15200666719010147,2.3311667522343313,0.38553710047512
-0.07925545664358324,-0.5582161708179365,-0.16920732339149858,-2.9383078507583864,-0.16938341730776418,2.3097612092591024,0.3649929018820961
-0.09859715119130641,-0.5734747935924664,-0.18595476485835505,-2.9313990871152624,-0.18164841654023167,2.289478143194909,0.3461866234572275
-0.11260294234810253,-0.5742303769591146,-0.20144466964303298,-2.909265576037127,-0.18782402552907396,2.2712253595188177,0.3297162294508462
-0.11981494701888096,-0.5607584835704706,-0.21442779852991656,-2.8733246168890174,-0.1876449059182823,2.2552529997794473,0.31616231433271214
-0.11975511721291454,-0.5344635560577498,-0.22372188524120773,-2.825848909459852,-0.18139417751239328,2.241210710862493,0.30590809341719716
-0.11302994036862302,-0.4978109216170816,-0.22858791470040885,-2.76970612758661,-0.17011249341992318,2.228220227363458,0.29913599003888525
-0.10110619826230671,-0.4541383758926738,-0.22866415981785426,-2.7081133921118443,-0.15513873554164892,2.215206539416709,0.2959804809751079
-0.08580258906830274,-0.40718424338065073,-0.22409510966184865,-2.6442936787106586,-0.1381312777921968,2.2012322412361467,0.2965637538865309
-0.0688118713463135,-0.36091836242620357,-0.21547679706551293,-2.5814411147679515,-0.12064346533309145,2.1856795707803567,0.3011428578725823
-0.05151308823068579,-0.3191159734946254,-0.20352051785548309,-2.522648930310276,-0.10407056176179008,2.168534076848646,0.3098485351384843
-0.03468557969885566,-0.2851873292149554,-0.18920112756469987,-2.4707457850411947,-0.08938751167555203,2.1501230160462264,0.32269231091372674
-0.01877749415814467,-0.26187776256476347,-0.17329954283947835,-2.4282456817435873,-0.07710586470985703,2.1310961358651284,0.3396230303159138
-0.0035329866524458353,-0.2512707436312436,-0.15590238077238538,-2.3966234726139035,-0.06705742770715073,2.1113852751982236,0.3610433046462376
0.010233811283942629,-0.2552274815856652,-0.13829951399597284,-2.3791583387930393,-0.0594775018286553,2.092474028612523,0.385290857913243
0.022928496127705422,-0.27364094543510475,-0.12008734696199586,-2.375481478551025,-0.053445296611297266,2.073665578201517,0.41242205610588645
0.03471862174315721,-0.3059033874467314,-0.10120577779177431,-2.3852715662109496,-0.048059711956933704,2.054478273250975,0.44179829236317847
0.04579841985404709,-0.35040877210567345,-0.0815766481833533,-2.407106495068186,-0.04228189221111478,2.0341941444034504,0.47275039308672806
0.05651448883854737,-0.40479112929896743,-0.061245751645452984,-2.4388055948334095,-0.035049634785602635,2.0120192532116388,0.5046240718266235
0.06727435358577694,-0.4659677181634887,-0.04031344438020934,-2.477431642774084,-0.025445273923135225,1.987464399117762,0.5367691842874827
