eff_panda_joint1,eff_panda_joint2,eff_panda_joint3,eff_panda_joint4,eff_panda_joint5,eff_panda_joint6,eff_panda_joint7
0.7259363641045307,25.307132826922548,0.5724241772517389,-12.605369845894968,-0.29297755708177015,-1.394896344937344,-0.022184840670377057
0.7987959075162394,21.388843873011723,0.8191746975936292,-12.853123076818715,-0.38847710545587555,-1.3627847049851156,-0.014174816145122495
0.9303191290913361,17.331377931412405,1.0614673947472784,-13.536974453915805,-0.3903632839712853,-1.4082520016292144,-0.021262635015425288
0.8379493159843866,13.477599837736275,1.260757106979569,-14.867695270724896,-0.49587757613435324,-1.4780715871270045,-0.009817305527152327
0.6672639836932379,9.862107989835676,1.5605955293503222,-16.74096487256851,-0.49258229848873797,-1.5739274457946897,-0.00863380443057828
0.6251276649654559,7.039863718637231,1.4678929707140136,-18.54635953972285,-0.5734504730508833,-1.8359096211168433,0.009223182476692945
0.5926813331731696,4.359512561014715,1.629616964725865,-20.581997513698493,-0.5894754235762183,-2.0314513231685956,0.019706858716218266
0.649257071009325,2.4945774075337566,2.0773206069400483,-21.97411529165363,-0.5560665435218536,-2.1827474713564463,0.02113446309914351
0.9422180743496262,0.9976233099913576,2.3868914294923522,-22.903934834229535,-0.6599693763354328,-2.2165128510300907,0.008005907149393022
0.9422180743496262,0.9976233099913576,2.3868914294923522,-22.903934834229535,-0.6599693763354328,-2.2165128510300907,0.008005907149393022
1.7493004531563525,-0.4724741885603368,3.1252149989711513,-23.50018161734143,-0.7003366496304723,-2.276491072342403,0.02631247486042435
2.66269123777666,-1.025705243740147,3.9696159649818674,-23.01769924091263,-0.7211342761881827,-2.1772591671930983,0.009249779223184752
3.4551387693802402,-0.65939444764079,4.936152753843178,-21.775320106121075,-0.821534336672396,-2.0748167226906173,-0.004603729660128664
4.300320913607014,0.5905437766885637,5.985611432779438,-20.08847927116592,-0.8056257566152327,-1.9565332163648346,-0.031988672663605666
4.856023547952194,2.68214614831122,6.56400282283675,-18.661587843896577,-0.7989785935860971,-1.795970443152795,-0.020656236346113625
4.8003611038665674,5.918195574116348,6.942727260714425,-17.278526489239926,-0.7106411656850832,-1.653884613261051,-0.03235995906542231
4.334188442495294,9.937746949125813,6.479201727221672,-16.51004532266333,-0.6925127482500014,-1.4691278774057592,-0.026658785563300473
3.6107239300983305,14.493450325333841,5.427524290421231,-16.08332836878467,-0.6349185369454131,-1.4908440508314245,-0.03115055354761925
2.4714108495715825,19.06164563211598,4.2247427767290775,-16.279168331603056,-0.5027420581625067,-1.381954631149212,-0.03077391272696462
1.3421487871221514,23.507471838663665,2.794654938840145,-16.4425854139096,-0.448750567109001,-1.374434405185899,-0.011012730437288966
0.5217577179605942,26.893208930126665,1.3672352743240266,-16.59008519633705,-0.4082869725550392,-1.5016008806179815,-0.013920129566281466
-0.3386321422574445,29.219564541888378,0.3593936566295037,-16.778867025177842,-0.44670415848810135,-1.4851728234299137,0.0023855698849314035
-0.9145594854545822,29.65998667079481,-0.20250894192469673,-17.06259226406377,-0.37060620589205584,-1.342861747542608,-0.0015525210860881454
-0.9930201536253238,29.0418383100278,-0.80129309760074,-16.476316276184168,-0.3708656096840365,-1.3564159470158768,-0.0008242586840502441
-1.2048195153275663,26.63046093062916,-0.887394161517259,-16.16548578760747,-0.4135161380187577,-1.267145311320397,0.007222068328231556
-0.9971916069523563,23.003609235712762,-1.1043614372076935,-15.628937016645809,-0.3788706988633713,-1.2819326004971663,0.0006773842481047948
-1.0296681169011366,18.45503518987466,-1.145911790198743,-15.44959925069432,-0.39838727526900447,-1.1364738301128723,0.009404964042836191
-0.7937564226089111,13.718312813291666,-1.3108277950676233,-15.396410957371637,-0.45617389429540706,-1.2571847974857966,0.0028930890022345087
-0.7295483273623201,8.691919663994806,-1.3979126565026596,-16.036547396924483,-0.495659656976428,-1.2770350160705615,0.011712065966347609
-0.5880284935248853,4.242992765700993,-1.4971733568116072,-16.80029652832886,-0.5726168373140658,-1.4423334951413702,0.013181538221867854
-0.459120504402731,0.16113355975616483,-1.5952793531720344,-17.99007769945182,-0.646090860512561,-1.6529278257051792,0.008539943966035727
-0.4293787756804209,-3.0879694309155017,-1.6425892572540404,-19.18420735292972,-0.6769220562638975,-1.7501695648824278,0.002004142676689881
-0.6279930486240903,-5.695152899942365,-1.7934262185556833,-20.055443479348586,-0.767983685602898,-1.9439776817725334,0.003299200179432458
-1.0413776980730496,-8.007987716325397,-2.1263289340127107,-20.702393757501124,-0.786769247387181,-2.017509736966939,-0.005481339449530904
-1.443358257299433,-8.995007060335116,-2.605135664292946,-20.346712322838293,-0.7774532915298229,-2.0572595836709584,0.0007282777079252705
-2.2640291629195244,-9.719721960267387,-3.1727818311003153,-19.844982151779373,-0.7074268911694968,-2.035706232861296,-0.005176877644002362
-2.9803648402249956,-9.435698427132886,-4.331571220741062,-19.088404754722774,-0.7480577831808577,-1.8529741395164439,0.014676822603703123
-3.5440828417759467,-7.870177248360197,-5.3015121983299816,-17.943633601368354,-0.7355640712314921,-1.7814774541869396,0.0286786494734929
-3.895509887133467,-5.260933613853313,-6.128779428050799,-17.07527495402596,-0.6307491936972192,-1.6010103933767754,0.030332364708289594
-3.9679754629566264,-1.455454847460306,-6.695257124826007,-16.370299639314513,-0.5778032331587554,-1.4864425181106056,0.04130738914687621
-3.843799382160617,3.302576584622085,-6.854545577194218,-16.050866720453698,-0.5258364458023584,-1.4171226774922543,0.030954996090309047
-3.4421457973790495,8.698291677723947,-6.490613608493364,-16.145271071909804,-0.539102662161861,-1.3924893019714293,0.03776080437961286
